Country,Capital,Currency Name,Code
Argentina,Buenos Aires,Argentine Peso,ARS
Australia,Canberra,Australian Dollar,AUD
Great Britain,London,Pound Sterling,GBP
Hong Kong,Victoria,Hong Kong Dollar,HKD
India,New Delhi,Indian Rupee,INR
Israel,Jerusalem,Israeli New Shekel,ILS
Japan,Tokyo,Japanese Yen,JPY
Korea-South,Seoul,Korean Won,KRW
Malaysia,Kuala Lumpur,Malaysian Ringgit,MYR
Mexico,Mexico City,Mexican Nuevo Peso,MXN
New Zealand,Wellington,New Zealand Dollar,NZD
Philippines,Manila,Philippine Peso,PHP
Poland,Warsaw,Polish Zloty,PLN
Qatar,Doha,Qatari Rial,QAR
Russia,Moscow,Russian Ruble,RUB
Singapore,Singapore,Singapore Dollar,SGD
Sweden,Stockholm,Swedish Krona,SEK
Switzerland,Bern,Swiss Franc,CHF
Taiwan,Taipei,Taiwan Dollar,TWD
Thailand,Bangkok,Thai Baht,THB
U.K.,London,Pound Sterling,GBP
